,District,Dist_Latitude,Dist_Longitude,Venue,Venue_Lat,Venue_Long,Venue_Category
0,Chiyoda,35.675618,139.7434685,Nagatacho Kurosawa (永田町 黒澤),35.674699,139.741737,Japanese Restaurant
1,Chiyoda,35.675618,139.7434685,Star Hill (星ヶ岡),35.67395341381144,139.7409975528717,Chinese Restaurant
2,Chiyoda,35.675618,139.7434685,Shinamen Hashigo (支那麺 はしご),35.672184,139.741576,Ramen Restaurant
3,Chiyoda,35.675618,139.7434685,Sushi Isshin (鮨 一新),35.67258918945737,139.73939914630728,Sushi Restaurant
4,Chiyoda,35.675618,139.7434685,Akasaka Fukinuki (赤坂ふきぬき),35.6732571432119,139.7383320172276,Unagi Restaurant
5,Chiyoda,35.675618,139.7434685,Kisurin (希須林),35.674514475772334,139.73796866834164,Ramen Restaurant
6,Chiyoda,35.675618,139.7434685,Szechwan Restaurant (赤坂 四川飯店),35.6794943540244,139.73935273396492,Szechuan Restaurant
7,Chiyoda,35.675618,139.7434685,Tonkatsu Masamune (とんかつ まさむね),35.672068,139.74,Tonkatsu Restaurant
8,Chiyoda,35.675618,139.7434685,白銀屋 溜池山王分店,35.67129,139.741028,Japanese Restaurant
9,Chiyoda,35.675618,139.7434685,Tinun (ティーヌン),35.673732,139.738345,Thai Restaurant
10,Chiyoda,35.675618,139.7434685,Kuronekoyoru (黒猫夜),35.67662593849092,139.73681191325633,Chinese Restaurant
11,Chiyoda,35.675618,139.7434685,Warayakiya (わらやき屋),35.673832279335905,139.73800296031973,Japanese Restaurant
12,Chiyoda,35.675618,139.7434685,大地の恵み 北海道,35.67723861784056,139.74087040004653,Japanese Restaurant
13,Chiyoda,35.675618,139.7434685,All Day Dining Origami (オールデイダイニング ORIGAMI),35.673815,139.741104,Restaurant
14,Chiyoda,35.675618,139.7434685,Musashi (武蔵),35.673093650894906,139.73804909604908,Nabe Restaurant
15,Chiyoda,35.675618,139.7434685,Lawry's The Prime Rib,35.669885,139.7423155,American Restaurant
16,Chiyoda,35.675618,139.7434685,赤坂 酒ぐら 鳥酎,35.67153579166785,139.7411199423666,Yakitori Restaurant
17,Chiyoda,35.675618,139.7434685,Kanekoya (日本橋天丼 金子屋 赤坂店),35.67136267267234,139.74099956452847,Tempura Restaurant
18,Chiyoda,35.675618,139.7434685,大阪マドラスカレー,35.67382,139.73708,Japanese Curry Restaurant
19,Chiyoda,35.675618,139.7434685,赤坂一龍 別館,35.67233493409288,139.7381682886719,Korean Restaurant
20,Chiyoda,35.675618,139.7434685,Chikutei (竹亭),35.671941107937016,139.73869916393397,Nabe Restaurant
21,Chiyoda,35.675618,139.7434685,La Maison Kioi,35.67973524368325,139.73788733112372,French Restaurant
22,Chiyoda,35.675618,139.7434685,Akasaka Eirin (赤坂 榮林),35.67485198229928,139.73703762037792,Chinese Restaurant
23,Chiyoda,35.675618,139.7434685,Ostrea,35.67609107962191,139.7368910908699,Seafood Restaurant
24,Chiyoda,35.675618,139.7434685,Iwaen (頤和園),35.67079198744587,139.74481165409085,Chinese Restaurant
25,Chiyoda,35.675618,139.7434685,NINJA AKASAKA,35.67793238036605,139.7366893356178,Seafood Restaurant
26,Chiyoda,35.675618,139.7434685,観世水,35.674314140162565,139.7376952013867,Soba Restaurant
27,Chiyoda,35.675618,139.7434685,赤坂馳走屋 黒座暁樓,35.675204552156025,139.73745671477243,Japanese Restaurant
28,Chiyoda,35.675618,139.7434685,四川雅園,35.67396654881734,139.73568970837724,Szechuan Restaurant
29,Chiyoda,35.675618,139.7434685,Tokyo Aburagumi Sohonten (東京油組総本店 赤坂見附組),35.6765172054966,139.73661273932694,Ramen Restaurant
30,Chiyoda,35.675618,139.7434685,Akasaka Umaya (赤坂うまや),35.67587292191641,139.73555079619214,Japanese Restaurant
31,Chiyoda,35.675618,139.7434685,Tonkatsu Akasaka Mizuno (とんかつ 赤坂水野),35.672058,139.739801,Tonkatsu Restaurant
32,Chiyoda,35.675618,139.7434685,Iwaen (頤和園),35.67055468305732,139.74680721759796,Chinese Restaurant
33,Chiyoda,35.675618,139.7434685,Negishi (ねぎし),35.677592,139.73626,Japanese Restaurant
34,Chiyoda,35.675618,139.7434685,Iccho (炭焼宮崎地鶏 一鳥),35.67372186680367,139.73735497266236,Japanese Restaurant
35,Chiyoda,35.675618,139.7434685,Kien (帰燕),35.668871,139.739837,Kaiseki Restaurant
36,Chiyoda,35.675618,139.7434685,Takekuma (たけくま),35.671642,139.738446,Chinese Restaurant
37,Chiyoda,35.675618,139.7434685,溜池 酉玉,35.6702558189554,139.74466849765795,Yakitori Restaurant
38,Chiyoda,35.675618,139.7434685,四川小吃 雲辣坊,35.67525553502239,139.7360628582486,Szechuan Restaurant
39,Chiyoda,35.675618,139.7434685,Hinadori (雛どり),35.67142477294738,139.74074143904517,Yakitori Restaurant
40,Chiyoda,35.675618,139.7434685,Elio Locanda Italiana,35.68333290577608,139.74065304710317,Italian Restaurant
41,Chiyoda,35.675618,139.7434685,Yoinokuchi (宵の口),35.67481802290552,139.73544590753596,Japanese Restaurant
42,Chiyoda,35.675618,139.7434685,Negi (おふくろの味 ねぎ),35.675132152931276,139.73750284725554,Japanese Restaurant
43,Chiyoda,35.675618,139.7434685,Johnny & Ree (ジョニーとリー),35.681011278239495,139.741846476616,Ramen Restaurant
44,Chiyoda,35.675618,139.7434685,Muromachi Sunaba (室町砂場),35.671166,139.736184,Soba Restaurant
45,Chiyoda,35.675618,139.7434685,SAPANA,35.67580066989378,139.73858166163842,Indian Restaurant
46,Chiyoda,35.675618,139.7434685,秋田比内地鶏 きすけ 本店,35.670611927967556,139.7416119103999,Donburi Restaurant
47,Chiyoda,35.675618,139.7434685,Rokuhara (六波羅),35.6761217459776,139.73581267925744,Kushikatsu Restaurant
48,Chiyoda,35.675618,139.7434685,Le Petit Tonneau,35.670330827059665,139.7472956011477,French Restaurant
49,Chiyoda,35.675618,139.7434685,Enoteca D'oro,35.68198067621507,139.7417351560137,Italian Restaurant
50,Minato,35.61912805,139.779403349221,Miraikan Kitchen,35.61920967849394,139.77673530578613,Japanese Restaurant
51,Minato,35.61912805,139.779403349221,Torimikura (鶏味座),35.62486981865562,139.7758991172149,Yakitori Restaurant
52,Minato,35.61912805,139.779403349221,Kushiya Monogatari (串家物語),35.62492773179036,139.77517157793045,Kushikatsu Restaurant
53,Minato,35.61912805,139.779403349221,Sutadonya (伝説のすた丼屋),35.62456700107044,139.7754121495853,Donburi Restaurant
54,Minato,35.61912805,139.779403349221,Wahoo's Tacos & More,35.62460199163507,139.77478802204132,Mexican Restaurant
55,Minato,35.61912805,139.779403349221,Curry Shop Mumin (インド式カレー 夢民),35.624669170114956,139.77497577667236,Japanese Curry Restaurant
56,Minato,35.61912805,139.779403349221,Ro-Lan (楼蘭),35.624576832917185,139.77125801453948,Cantonese Restaurant
57,Minato,35.61912805,139.779403349221,アイハウス,35.6174269164205,139.7794085802529,Restaurant
58,Minato,35.61912805,139.779403349221,イタリア市場 ヴァリオ,35.61718625786023,139.77948188781738,Italian Restaurant
59,Minato,35.61912805,139.779403349221,Tai-Sho-Ken (大勝軒),35.61544244302156,139.77739976789363,Ramen Restaurant
60,Minato,35.61912805,139.779403349221,Garden Dining (ガーデン ダイニング),35.624995,139.772046,Yoshoku Restaurant
61,Shinjuku,35.69376320000001,139.7036319,Michishirube (道しるべ),35.694744,139.703705,Yakitori Restaurant
62,Shinjuku,35.69376320000001,139.7036319,Acacia (アカシア),35.693116,139.70157,Yoshoku Restaurant
63,Shinjuku,35.69376320000001,139.7036319,Sushizanmai (すしざんまい),35.692341,139.702335,Sushi Restaurant
64,Shinjuku,35.69376320000001,139.7036319,Iwamoto Q (いわもとQ),35.694295,139.703345,Soba Restaurant
65,Shinjuku,35.69376320000001,139.7036319,Shinjuku Unatetsu (新宿うな鐵),35.694692,139.702645,Unagi Restaurant
66,Shinjuku,35.69376320000001,139.7036319,Chanpha (タイ屋台料理 チャンパー),35.69241385635737,139.70415070652962,Thai Restaurant
67,Shinjuku,35.69376320000001,139.7036319,Shanghai Xiaochi (上海小吃),35.6948817,139.7037882,Chinese Restaurant
68,Shinjuku,35.69376320000001,139.7036319,Sugoi Niboshi Ramen Nagi (すごい煮干ラーメン凪),35.69378872832133,139.7044998237034,Ramen Restaurant
69,Shinjuku,35.69376320000001,139.7036319,Tatsukichi (新宿 立吉),35.69112894491255,139.7050937312771,Kushikatsu Restaurant
70,Shinjuku,35.69376320000001,139.7036319,やきとり 番番,35.6937979016629,139.70230467617512,Yakitori Restaurant
71,Shinjuku,35.69376320000001,139.7036319,Ban-Thai (タイ国料理 バンタイ),35.69410668177647,139.7010312974453,Thai Restaurant
72,Shinjuku,35.69376320000001,139.7036319,Ouroji (王ろじ),35.69197340548301,139.7036922510105,Tonkatsu Restaurant
73,Shinjuku,35.69376320000001,139.7036319,らぁ麺 鳳仙花,35.694435329869286,139.70069454177073,Ramen Restaurant
74,Shinjuku,35.69376320000001,139.7036319,海底撈火鍋,35.6951072631284,139.70145725746755,Hotpot Restaurant
75,Shinjuku,35.69376320000001,139.7036319,Taruichi (樽一),35.69433432698568,139.70416992189354,Japanese Restaurant
76,Shinjuku,35.69376320000001,139.7036319,Menshou Taketora (麺匠竹虎 本店),35.69565914236817,139.7022973580451,Ramen Restaurant
77,Shinjuku,35.69376320000001,139.7036319,Suzuya (新宿すずや),35.693983605542925,139.7009763121605,Tonkatsu Restaurant
78,Shinjuku,35.69376320000001,139.7036319,Mo-Mo-Paradise (モーモーパラダイス),35.6957719,139.7015463,Shabu-Shabu Restaurant
79,Shinjuku,35.69376320000001,139.7036319,Ichiran (一蘭),35.690597300865065,139.70282569527626,Ramen Restaurant
80,Shinjuku,35.69376320000001,139.7036319,Shinpachi Shokudo (しんぱち食堂),35.69486,139.70044,Japanese Restaurant
81,Shinjuku,35.69376320000001,139.7036319,Ramen Takahashi (焼きあご塩らー麺 たかはし),35.695186,139.700504,Ramen Restaurant
82,Shinjuku,35.69376320000001,139.7036319,車屋 別館,35.69280075701239,139.7022745013237,Japanese Restaurant
83,Shinjuku,35.69376320000001,139.7036319,TsuruTonTan (つるとんたん),35.695337,139.703137,Udon Restaurant
84,Shinjuku,35.69376320000001,139.7036319,Kameya (かめや),35.693122,139.699448,Soba Restaurant
85,Shinjuku,35.69376320000001,139.7036319,Tsunahachi (天ぷら 新宿つな八 総本店),35.690836,139.703383,Tempura Restaurant
86,Shinjuku,35.69376320000001,139.7036319,Aan (上海小籠包 厨房 阿杏),35.690758,139.702967,Chinese Restaurant
87,Shinjuku,35.69376320000001,139.7036319,Gifuya (岐阜屋),35.69322904931025,139.69962422987672,Chinese Restaurant
88,Shinjuku,35.69376320000001,139.7036319,Negishi (ねぎし),35.696329,139.700466,Japanese Restaurant
89,Shinagawa,35.599252,139.73891,そば会席 旧東海道 立会川 吉田家,35.60006516571914,139.7410394798525,Soba Restaurant
90,Shinagawa,35.599252,139.73891,そば道 東京蕎麦style,35.605050128206045,139.73548705433473,Soba Restaurant
91,Shinagawa,35.599252,139.73891,POISSON ROUGE,35.60450165569852,139.73388207903105,French Restaurant
